ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2009;U;M;ROYALTIES E PARTICIPAÇÕES;4380148290.73;CTB-Resumo.xlsx;2026-09-02
2010;U;M;ROYALTIES E PARTICIPAÇÕES;5298662321.96;CTB-Resumo.xlsx;2026-09-02
2011;U;M;ROYALTIES E PARTICIPAÇÕES;6453623926.67;CTB-Resumo.xlsx;2026-09-02
2012;U;M;ROYALTIES E PARTICIPAÇÕES;7804588360.22;CTB-Resumo.xlsx;2026-09-02
2013;U;M;ROYALTIES E PARTICIPAÇÕES;7973404695.9;CTB-Resumo.xlsx;2026-09-02
2014;U;M;ROYALTIES E PARTICIPAÇÕES;8917942698.12;CTB-Resumo.xlsx;2026-09-02
2015;U;M;ROYALTIES E PARTICIPAÇÕES;6817512216.09;CTB-Resumo.xlsx;2026-09-02
2000;E;M;ICMS;17587560208.82;CTB-Resumo.xlsx;2026-09-02
2001;E;M;ICMS;19651837784.09;CTB-Resumo.xlsx;2026-09-02
2002;E;M;ICMS;21919145843.64;CTB-Resumo.xlsx;2026-09-02
2003;E;M;ICMS;24953861926.71;CTB-Resumo.xlsx;2026-09-02
2004;E;M;ICMS;29154793340.72;CTB-Resumo.xlsx;2026-09-02
2005;E;M;ICMS;32515400988.08;CTB-Resumo.xlsx;2026-09-02
2006;E;M;ICMS;35217739856.25;CTB-Resumo.xlsx;2026-09-02
2007;E;M;ICMS;38147505593.35;CTB-Resumo.xlsx;2026-09-02
2008;E;M;ICMS;44757849584.14;CTB-Resumo.xlsx;2026-09-02
2009;E;M;ICMS;44253020953.81;CTB-Resumo.xlsx;2026-09-02
2010;E;M;ICMS;51916749695.01;CTB-Resumo.xlsx;2026-09-02
2011;E;M;ICMS;57783179291.81;CTB-Resumo.xlsx;2026-09-02
2012;E;M;ICMS;66385795641.64;CTB-Resumo.xlsx;2026-09-02
2013;E;M;ICMS;69670474260.47;CTB-Resumo.xlsx;2026-09-02
2014;E;M;ICMS;74293105382.27;CTB-Resumo.xlsx;2026-09-02
2015;E;M;ICMS;75956410777.47;CTB-Resumo.xlsx;2026-09-02
2000;E;M;IPVA;2648445500.0;CTB-Resumo.xlsx;2026-09-02
2001;E;M;IPVA;3109155368.0;CTB-Resumo.xlsx;2026-09-02
2002;E;M;IPVA;3472380266.76;CTB-Resumo.xlsx;2026-09-02
2003;E;M;IPVA;3821772752.58;CTB-Resumo.xlsx;2026-09-02
2004;E;M;IPVA;4406470313.36;CTB-Resumo.xlsx;2026-09-02
2005;E;M;IPVA;5193795556.93;CTB-Resumo.xlsx;2026-09-02
2006;E;M;IPVA;6032052579.1;CTB-Resumo.xlsx;2026-09-02
2007;E;M;IPVA;7143106223.74;CTB-Resumo.xlsx;2026-09-02
2008;E;M;IPVA;8314632631.72;CTB-Resumo.xlsx;2026-09-02
2009;E;M;IPVA;10035543890.76;CTB-Resumo.xlsx;2026-09-02
2010;E;M;IPVA;10638761564.67;CTB-Resumo.xlsx;2026-09-02
2011;E;M;IPVA;11969693268.7;CTB-Resumo.xlsx;2026-09-02
2012;E;M;IPVA;13342580164.56;CTB-Resumo.xlsx;2026-09-02
2013;E;M;IPVA;14404838333.35;CTB-Resumo.xlsx;2026-09-02
2014;E;M;IPVA;15635769393.83;CTB-Resumo.xlsx;2026-09-02
2015;E;M;IPVA;17456339443.96;CTB-Resumo.xlsx;2026-09-02
2000;E;M;FPEX;374883890.54;CTB-Resumo.xlsx;2026-09-02
2001;E;M;FPEX;403328305.22;CTB-Resumo.xlsx;2026-09-02
2002;E;M;FPEX;399100549.66;CTB-Resumo.xlsx;2026-09-02
2003;E;M;FPEX;383311579.87;CTB-Resumo.xlsx;2026-09-02
2004;E;M;FPEX;457629879.99;CTB-Resumo.xlsx;2026-09-02
2005;E;M;FPEX;519379041.99;CTB-Resumo.xlsx;2026-09-02
2006;E;M;FPEX;584939677.74;CTB-Resumo.xlsx;2026-09-02
